ORI,flty,flt_count,prev_total,pax_total
BKK,2015,1014,224402861832.0,115618.40000000001
BKK,2016,1175,247720922065.6,136426.4
BKK,2017,1047,250928249232.0,128426.40000000001
BKK,2018,1017,279523509320.0,129996.0
BKK,2019,1134,271045764292.8,143930.4
CAN,2015,438,181643001276.56,61313.0
CAN,2016,478,206963854530.0,63256.0
CAN,2017,460,193415887320.0,63632.0
CAN,2018,483,233082853760.0,74337.0
CAN,2019,466,238894990624.0,74483.0
CDG,2015,137,262201304160.0,29261.6
CDG,2016,140,273924222480.0,29193.6
CDG,2017,142,288407471920.0,28817.6
CDG,2018,143,302211009920.0,28282.4
CDG,2019,146,286231224160.0,27983.2
CGK,2015,331,183477194800.0,44331.0
CGK,2016,338,167683332704.0,46014.0
CGK,2017,345,173729546950.0,45679.0
CGK,2018,348,185583973620.0,47400.0
CGK,2019,353,190628728310.0,50757.0
CJJ,2016,5,4379376000.0,861.0
CJJ,2017,14,12893480000.0,2405.0
CJJ,2018,9,8237053440.0,1566.0
CJJ,2019,13,10441810500.0,2037.0
CTU,2015,154,13315666070.0,25864.0
CTU,2016,138,61060469130.0,23244.0
CTU,2017,145,65555245900.0,27564.0
CTU,2018,144,65382374910.0,27644.0
CTU,2019,95,38044249770.0,15509.0
DAD,2015,1576,496361591966.08,181740.8
DAD,2016,1674,711489818651.6,207953.8
DAD,2017,1330,726580568508.8,187556.6
DAD,2018,1567,831801254608.8,209898.8
DAD,2019,1774,850761843635.6,201222.2
DPS,2019,73,21272089842.4,8671.0
FRA,2015,147,260515264160.0,28677.6
FRA,2016,146,246587393144.0,26485.6
FRA,2017,168,302482353120.0,31290.4
FRA,2018,196,365469210984.0,36100.0
FRA,2019,191,334151298552.0,33381.6
FUK,2015,103,49094302812.0,8730.6
FUK,2016,107,44309319942.0,8592.0
FUK,2017,134,57517076238.0,10973.4
FUK,2018,147,62904761262.0,11159.4
FUK,2019,195,63788072178.0,12094.2
HGH,2015,181,69032387550.0,24482.0
HGH,2016,187,65782892436.0,23425.0
HGH,2017,182,91027842790.0,28596.0
HGH,2018,197,102141527370.0,31062.0
HGH,2019,173,87406476420.0,23058.0
HKG,2015,479,327708370608.0,108644.8
HKG,2016,490,317362270003.2,109715.2
HKG,2017,492,264877246576.0,108889.6
HKG,2018,501,304305302089.6,120467.2
HKG,2019,471,251603996700.8,104145.6
HKT,2019,53,6248040188.8,3764.8
ICN,2015,1027,710250824920.0,185032.0
ICN,2016,986,746398552810.0,193378.0
ICN,2017,952,857391882650.0,189086.0
ICN,2018,1035,964353207980.0,197532.0
ICN,2019,997,832795002640.0,195098.0
KHH,2015,484,280972797980.0,69567.0
KHH,2016,491,239395173230.0,66524.0
KHH,2017,489,219766007936.0,63505.0
KHH,2018,503,247369322820.0,71704.0
KHH,2019,480,194592965996.0,65699.0
KIX,2015,353,292302866064.0,47985.6
KIX,2016,347,276493143348.0,47150.4
KIX,2017,339,298142801490.0,49708.799999999996
KIX,2018,448,336188893506.0,52615.2
KIX,2019,695,428245183068.0,71731.8
KUL,2015,662,161845290742.2,130278.2
KUL,2016,544,124616188949.2,103597.0
KUL,2017,344,97841648938.8,65397.8
KUL,2018,344,114929659811.2,69977.7
KUL,2019,328,114879051531.4,70618.6
MEL,2015,326,610215147270.0,71019.0
MEL,2016,328,555438902520.0,70860.0
MEL,2017,328,583860827150.0,74200.0
MEL,2018,351,652541627390.0,82413.0
MEL,2019,330,660422240340.0,81604.0
MWX,2015,4,0.0,695.0
MWX,2016,21,16316374500.0,3463.0
MWX,2017,35,24448474540.0,5885.0
MWX,2018,96,60557004500.0,15778.0
MWX,2019,79,49118062500.0,11222.0
NGO,2015,182,80094215412.0,14607.6
NGO,2016,201,82811526672.0,15583.8
NGO,2017,272,120350733438.0,21696.6
NGO,2018,332,165063204546.0,26614.8
NGO,2019,341,151369329300.0,25281.6
NRT,2015,915,536158309056.0,92148.59999999999
NRT,2016,914,546425914266.0,92263.2
NRT,2017,938,593749643430.0,96388.2
NRT,2018,988,757932575526.0,110501.4
NRT,2019,1049,836403854178.0,127467.59999999999
PNH,2015,340,68852579274.0,44147.0
PNH,2016,350,67058543640.0,46885.0
PNH,2017,340,66948982568.0,44013.0
PNH,2018,350,74463338832.0,47308.0
PNH,2019,347,74479218912.0,46285.0
PUS,2015,362,326231687570.0,60096.0
PUS,2016,378,393619132380.0,80895.0
PUS,2017,347,479116471770.0,90405.0
PUS,2018,343,518793479270.0,85707.0
PUS,2019,370,506985233770.0,99255.0
PVG,2015,383,307706971910.0,68765.0
PVG,2016,433,370660279760.0,86515.0
PVG,2017,440,333982796110.0,82233.0
PVG,2018,435,403992930820.0,93862.0
PVG,2019,387,368913900070.0,86522.0
REP,2015,976,181230183406.0,93184.0
REP,2016,891,188784073706.0,96958.0
REP,2017,695,163364767581.0,87537.0
REP,2018,625,142745248262.0,72728.0
REP,2019,557,117350579562.0,56907.0
RGN,2015,177,61478173478.0,19062.0
RGN,2016,250,57704787066.0,30095.0
RGN,2017,267,54683826244.0,29188.0
RGN,2018,293,113072545760.0,42258.0
RGN,2019,307,110338967864.0,43599.0
SIN,2015,1031,302458606302.0,156669.0
SIN,2016,1024,319373515146.0,158150.0
SIN,2017,1019,335298170744.0,154519.0
SIN,2018,1136,388380811046.0,168128.0
SIN,2019,992,359239758390.0,166421.0
SJW,2015,8,3693129000.0,1125.0
SJW,2016,27,16592262500.0,3760.0
SYD,2015,335,693911607020.0,79338.0
SYD,2016,339,637743312480.0,76079.0
SYD,2017,330,561666386210.0,69315.0
SYD,2018,341,572086702790.0,71940.0
SYD,2019,343,605349425940.0,73679.0
TEN,2019,50,27972480000.0,8114.0
TPE,2015,343,170337713790.0,55934.0
TPE,2016,414,157956342368.0,58684.0
TPE,2017,350,132089039656.0,47072.0
TPE,2018,531,202702284892.0,75758.0
TPE,2019,479,165284613224.0,63358.0
TSN,2018,33,20867726000.0,4834.0
TYN,2015,41,7006760491.0,5100.0
WUH,2015,35,9573151100.0,5347.0
WUH,2016,48,21671431400.0,8664.0
XIY,2015,20,7204111640.0,2824.0
XIY,2016,19,10235549000.0,2473.0
XIY,2017,52,28210234500.0,8759.0
XIY,2018,59,26663574000.0,9925.0
XIY,2019,8,4230550000.0,1443.0
ZYI,2017,39,18343373880.0,4340.0
ZYI,2018,14,5834436290.0,1125.0
